DS,rep,clf,optimal,biased,method,augmented_acc,added_points
Abalone,7,SVM,0.5322966507177034,0.4019138755980861,GMM,0.4019138755980861,0
Abalone,7,SVM,0.5322966507177034,0.4019138755980861,Imitate,0.3839712918660287,1022
Abalone,7,SVM,0.5322966507177034,0.4019138755980861,Mimic (ours),0.3696172248803828,238
Abalone,7,RF,0.5514354066985646,0.5239234449760766,GMM,0.5251196172248804,0
Abalone,7,RF,0.5514354066985646,0.5239234449760766,Imitate,0.5299043062200957,1022
Abalone,7,RF,0.5514354066985646,0.5239234449760766,Mimic (ours),0.5215311004784688,238
Abalone,8,DT,0.5263157894736842,0.5,GMM,0.49760765550239233,0
Abalone,8,DT,0.5263157894736842,0.5,Imitate,0.4748803827751196,745
Abalone,8,DT,0.5263157894736842,0.5,Mimic (ours),0.4988038277511962,280
Abalone,8,SVM,0.5394736842105263,0.38995215311004783,GMM,0.38995215311004783,0
Abalone,8,SVM,0.5394736842105263,0.38995215311004783,Imitate,0.40311004784689,745
Abalone,8,SVM,0.5394736842105263,0.38995215311004783,Mimic (ours),0.4055023923444976,280
Abalone,8,RF,0.5490430622009569,0.5083732057416268,GMM,0.5023923444976076,0
Abalone,8,RF,0.5490430622009569,0.5083732057416268,Imitate,0.5311004784688995,745
Abalone,8,RF,0.5490430622009569,0.5083732057416268,Mimic (ours),0.5107655502392344,280
Abalone,9,DT,0.5083732057416268,0.4904306220095694,GMM,0.5179425837320574,0
Abalone,9,DT,0.5083732057416268,0.4904306220095694,Imitate,0.4820574162679426,937
Abalone,9,DT,0.5083732057416268,0.4904306220095694,Mimic (ours),0.4892344497607656,0
Abalone,9,SVM,0.5574162679425837,0.3875598086124402,GMM,0.3875598086124402,0
Abalone,9,SVM,0.5574162679425837,0.3875598086124402,Imitate,0.44138755980861244,937
Abalone,9,SVM,0.5574162679425837,0.3875598086124402,Mimic (ours),0.3875598086124402,0
Abalone,9,RF,0.5825358851674641,0.5251196172248804,GMM,0.5263157894736842,0
Abalone,9,RF,0.5825358851674641,0.5251196172248804,Imitate,0.5203349282296651,937
Abalone,9,RF,0.5825358851674641,0.5251196172248804,Mimic (ours),0.5047846889952153,0
Car,8,DT,0.9855491329479769,0.8352601156069365,GMM,0.8352601156069365,0
Car,8,DT,0.9855491329479769,0.8352601156069365,Imitate,0.7456647398843931,861
Car,8,DT,0.9855491329479769,0.8352601156069365,Mimic (ours),0.8323699421965318,0
Car,8,SVM,0.9624277456647399,0.8757225433526011,GMM,0.8757225433526011,0
Car,8,SVM,0.9624277456647399,0.8757225433526011,Imitate,0.7803468208092486,861
Car,8,SVM,0.9624277456647399,0.8757225433526011,Mimic (ours),0.8757225433526011,0
Car,8,RF,0.9855491329479769,0.8410404624277457,GMM,0.8410404624277457,0
Car,8,RF,0.9855491329479769,0.8410404624277457,Imitate,0.7976878612716763,861
Car,8,RF,0.9855491329479769,0.8410404624277457,Mimic (ours),0.8410404624277457,0
Car,9,DT,0.9710982658959537,0.8352601156069365,GMM,0.8352601156069365,0
Car,9,DT,0.9710982658959537,0.8352601156069365,Imitate,0.7398843930635838,870
Car,9,DT,0.9710982658959537,0.8352601156069365,Mimic (ours),0.8352601156069365,0
Car,9,SVM,0.9479768786127167,0.8670520231213873,GMM,0.8670520231213873,0
Car,9,SVM,0.9479768786127167,0.8670520231213873,Imitate,0.7890173410404624,870
Car,9,SVM,0.9479768786127167,0.8670520231213873,Mimic (ours),0.8670520231213873,0
Car,9,RF,0.9797687861271677,0.8410404624277457,GMM,0.846820809248555,0
Car,9,RF,0.9797687861271677,0.8410404624277457,Imitate,0.8410404624277457,870
Car,9,RF,0.9797687861271677,0.8410404624277457,Mimic (ours),0.8410404624277457,0
Car,0,DT,0.9913294797687862,0.8554913294797688,GMM,0.8554913294797688,0
Car,0,DT,0.9913294797687862,0.8554913294797688,Imitate,0.7312138728323699,868
Car,0,DT,0.9913294797687862,0.8554913294797688,Mimic (ours),0.8554913294797688,0
Car,0,SVM,0.953757225433526,0.8583815028901735,GMM,0.8583815028901735,0
Car,0,SVM,0.953757225433526,0.8583815028901735,Imitate,0.7774566473988439,868
Car,0,SVM,0.953757225433526,0.8583815028901735,Mimic (ours),0.8583815028901735,0
Car,0,RF,0.9797687861271677,0.8526011560693642,GMM,0.846820809248555,0
Car,0,RF,0.9797687861271677,0.8526011560693642,Imitate,0.8497109826589595,868
Car,0,RF,0.9797687861271677,0.8526011560693642,Mimic (ours),0.8554913294797688,0
