seed,num_clusters,num_dims,spread,clf,optimal,biased,method,augmented_acc,added_points
9244,1,2,100,RF,0.9966666666666667,0.8046666666666666,GMM,0.8353333333333334,352
9244,1,2,100,RF,0.9966666666666667,0.8046666666666666,Imitate,0.9733333333333334,607
9244,1,2,100,RF,0.9966666666666667,0.8046666666666666,Mimic (ours),0.8126666666666666,254
9958,1,2,100,DT,0.8986666666666666,0.74,GMM,0.778,169
9958,1,2,100,DT,0.8986666666666666,0.74,Imitate,0.72,289
9958,1,2,100,DT,0.8986666666666666,0.74,Mimic (ours),0.74,162
9958,1,2,100,SVM,0.8813333333333333,0.734,GMM,0.7413333333333333,169
9958,1,2,100,SVM,0.8813333333333333,0.734,Imitate,0.736,289
9958,1,2,100,SVM,0.8813333333333333,0.734,Mimic (ours),0.7346666666666667,162
9958,1,2,100,RF,0.936,0.698,GMM,0.8053333333333333,169
9958,1,2,100,RF,0.936,0.698,Imitate,0.748,289
9958,1,2,100,RF,0.936,0.698,Mimic (ours),0.7113333333333334,162
8184,1,2,100,DT,0.9533333333333334,0.674,GMM,0.7593333333333333,277
8184,1,2,100,DT,0.9533333333333334,0.674,Imitate,0.9546666666666667,702
8184,1,2,100,DT,0.9533333333333334,0.674,Mimic (ours),0.7106666666666667,260
8184,1,2,100,SVM,0.9386666666666666,0.76,GMM,0.8113333333333334,277
8184,1,2,100,SVM,0.9386666666666666,0.76,Imitate,0.9153333333333333,702
8184,1,2,100,SVM,0.9386666666666666,0.76,Mimic (ours),0.766,260
8184,1,2,100,RF,0.964,0.7073333333333334,GMM,0.7746666666666666,277
8184,1,2,100,RF,0.964,0.7073333333333334,Imitate,0.9646666666666667,702
8184,1,2,100,RF,0.964,0.7073333333333334,Mimic (ours),0.7526666666666667,260
8574,1,2,100,DT,0.8913333333333333,0.784,GMM,0.808,260
8574,1,2,100,DT,0.8913333333333333,0.784,Imitate,0.8686666666666667,604
8574,1,2,100,DT,0.8913333333333333,0.784,Mimic (ours),0.788,332
8574,1,2,100,SVM,0.9326666666666666,0.8033333333333333,GMM,0.822,260
8574,1,2,100,SVM,0.9326666666666666,0.8033333333333333,Imitate,0.8786666666666667,604
8574,1,2,100,SVM,0.9326666666666666,0.8033333333333333,Mimic (ours),0.8053333333333333,332
8574,1,2,100,RF,0.914,0.7866666666666666,GMM,0.814,260
8574,1,2,100,RF,0.914,0.7866666666666666,Imitate,0.8793333333333333,604
8574,1,2,100,RF,0.914,0.7866666666666666,Mimic (ours),0.7873333333333333,332
1670,1,2,100,DT,0.99,0.8993333333333333,GMM,0.9113333333333333,239
1670,1,2,100,DT,0.99,0.8993333333333333,Imitate,0.9286666666666666,688
1670,1,2,100,DT,0.99,0.8993333333333333,Mimic (ours),0.9106666666666666,186
1670,1,2,100,SVM,0.9993333333333333,0.8766666666666667,GMM,0.8793333333333333,239
1670,1,2,100,SVM,0.9993333333333333,0.8766666666666667,Imitate,0.9833333333333333,688
1670,1,2,100,SVM,0.9993333333333333,0.8766666666666667,Mimic (ours),0.8706666666666667,186
1670,1,2,100,RF,0.9966666666666667,0.8933333333333333,GMM,0.9046666666666666,239
1670,1,2,100,RF,0.9966666666666667,0.8933333333333333,Imitate,0.9673333333333334,688
1670,1,2,100,RF,0.9966666666666667,0.8933333333333333,Mimic (ours),0.8873333333333333,186
5437,1,2,100,DT,0.9953333333333333,0.806,GMM,0.836,89
5437,1,2,100,DT,0.9953333333333333,0.806,Imitate,0.988,990
5437,1,2,100,DT,0.9953333333333333,0.806,Mimic (ours),0.8066666666666666,374
5437,1,2,100,SVM,0.9953333333333333,0.8626666666666667,GMM,0.892,89
5437,1,2,100,SVM,0.9953333333333333,0.8626666666666667,Imitate,0.9946666666666667,990
5437,1,2,100,SVM,0.9953333333333333,0.8626666666666667,Mimic (ours),0.8986666666666666,374
5437,1,2,100,RF,0.9973333333333333,0.8066666666666666,GMM,0.8386666666666667,89
5437,1,2,100,RF,0.9973333333333333,0.8066666666666666,Imitate,0.9913333333333333,990
5437,1,2,100,RF,0.9973333333333333,0.8066666666666666,Mimic (ours),0.8086666666666666,374
